,Player,Grade,POS
0,Travis Keice,A+,TE
1,Darren Waller,A+,TE
2,Hunter Henry,A-,TE
3,Zach Ertz,B+,TE
4,Mark Andrews,B-,TE
5,Jared Cook,B-,TE
6,George Kittle,C+,TE
7,Eric Ebron,C,TE
8,Gerald Everett,C-,TE
9,Greg Olsen,C-,TE
10,Jack Doyle,C-,TE
11,Dallas Goedert,C-,TE
12,Noah Fant,C-,TE
13,O.J. Howard,C-,TE
14,Jason Witten,C-,TE
15,Irv Smith,D+,TE
16,Ross Dwelley,D,TE
17,Kyle Rudolph,D,TE
18,Mike Gesicki,D,TE
19,Dawson Knox,D,TE
20,Tyler Eifert,D-,TE
21,Darren Fells,D-,TE
22,Jordan Akins,D-,TE
23,Blake Jarwin,F,TE
24,Luke Stocker,F,TE
25,Ryan Griffin,F,TE
26,Benjamin Watson,F,TE
